date,close,open,high,low,volume,%
2021/10/22,"16,888.74","16,900.32","16,932.89","16,800.49",3.80B,0.00%
2021/10/21,"16,889.51","16,904.46","17,026.89","16,873.99",4.31B,0.01%
2021/10/20,"16,887.82","16,936.20","16,973.86","16,855.81",3.63B,-0.08%
2021/10/19,"16,900.67","16,791.12","16,916.72","16,772.15",3.87B,1.17%
2021/10/18,"16,705.46","16,816.94","16,862.03","16,695.89",4.15B,-0.45%
2021/10/15,"16,781.19","16,426.76","16,781.19","16,426.76",3.62B,2.40%
2021/10/14,"16,387.28","16,392.51","16,519.96","16,347.88",3.82B,0.24%
2021/10/13,"16,347.99","16,480.98","16,543.33","16,328.47",3.78B,-0.70%
2021/10/12,"16,462.84","16,589.72","16,589.72","16,349.49",3.84B,-1.07%
2021/10/8,"16,640.43","16,742.35","16,771.71","16,605.49",3.63B,-0.44%
2021/10/7,"16,713.86","16,465.57","16,731.58","16,465.57",3.98B,1.96%
2021/10/6,"16,393.16","16,488.21","16,568.21","16,303.63",3.98B,-0.41%
2021/10/5,"16,460.75","16,362.27","16,460.75","16,162.17",4.34B,0.32%
2021/10/4,"16,408.35","16,600.52","16,680.29","16,380.06",4.46B,-0.98%
2021/10/1,"16,570.89","16,883.00","16,883.00","16,503.74",5.03B,-2.15%
2021/9/30,"16,934.77","16,886.57","16,994.21","16,767.20",4.15B,0.47%
2021/9/29,"16,855.46","17,127.86","17,127.86","16,801.78",4.61B,-1.90%
2021/9/28,"17,181.44","17,286.89","17,286.89","17,113.47",3.68B,-0.76%
2021/9/27,"17,313.77","17,278.11","17,335.99","17,235.68",4.37B,0.31%
2021/9/24,"17,260.19","17,130.74","17,273.59","17,130.74",3.96B,1.07%
2021/9/23,"17,078.22","16,998.07","17,145.25","16,998.07",3.71B,0.90%
2021/9/22,"16,925.82","17,196.79","17,196.79","16,838.58",4.65B,-2.03%
2021/9/17,"17,276.79","17,279.29","17,408.71","17,235.45",4.56B,-0.01%
2021/9/16,"17,278.70","17,332.34","17,411.37","17,254.10",3.78B,-0.43%
2021/9/15,"17,354.00","17,434.02","17,439.75","17,316.52",3.84B,-0.46%
2021/9/14,"17,434.90","17,463.78","17,529.47","17,424.54",3.73B,-0.07%
2021/9/13,"17,446.31","17,452.16","17,482.57","17,387.57",3.68B,-0.16%
2021/9/10,"17,474.57","17,270.28","17,474.57","17,270.28",3.45B,0.98%
2021/9/9,"17,304.33","17,175.04","17,319.09","17,122.95",3.14B,0.20%
2021/9/8,"17,270.49","17,411.53","17,447.58","17,167.08",4.09B,-0.91%
2021/9/7,"17,428.87","17,534.38","17,559.21","17,388.37",4.35B,-0.38%
2021/9/6,"17,495.30","17,534.05","17,633.67","17,461.07",5.07B,-0.12%
2021/9/3,"17,516.92","17,380.52","17,540.78","17,380.52",4.49B,1.14%
2021/9/2,"17,319.76","17,455.92","17,523.16","17,319.76",4.56B,-0.88%
2021/9/1,"17,473.99","17,463.80","17,503.93","17,415.52",4.52B,-0.09%
2021/8/31,"17,490.29","17,384.61","17,490.29","17,207.57",4.90B,0.54%
2021/8/30,"17,396.52","17,244.62","17,396.52","17,244.62",3.86B,1.08%
2021/8/27,"17,209.93","17,061.10","17,229.89","17,000.26",4.25B,0.84%
2021/8/26,"17,066.96","17,177.39","17,201.42","16,984.69",4.60B,0.12%
2021/8/25,"17,045.86","16,821.08","17,045.86","16,821.08",4.50B,1.35%
2021/8/24,"16,818.73","16,830.63","16,904.30","16,779.90",5.52B,0.46%
2021/8/23,"16,741.84","16,459.13","16,785.29","16,459.13",4.38B,2.45%
2021/8/20,"16,341.94","16,426.98","16,507.11","16,248.08",4.56B,-0.20%
2021/8/19,"16,375.40","16,777.78","16,777.78","16,375.40",5.33B,-2.68%
2021/8/18,"16,826.27","16,630.99","16,826.27","16,418.54",5.28B,0.99%
2021/8/17,"16,661.36","16,841.62","16,870.55","16,657.63",4.14B,-1.17%
2021/8/16,"16,858.77","16,941.33","16,983.59","16,773.57",4.96B,-0.73%
2021/8/13,"16,982.11","17,216.34","17,216.34","16,978.11",5.21B,-1.38%
2021/8/12,"17,219.94","17,221.35","17,233.11","17,139.21",4.23B,-0.04%
2021/8/11,"17,227.18","17,308.62","17,327.20","17,090.25",5.65B,-0.56%
2021/8/10,"17,323.64","17,492.45","17,524.91","17,305.06",4.79B,-0.92%
2021/8/9,"17,485.15","17,505.01","17,510.09","17,350.15",5.19B,-0.23%
2021/8/6,"17,526.28","17,593.85","17,593.85","17,469.68",5.69B,-0.44%
2021/8/5,"17,603.12","17,624.82","17,643.97","17,566.72",6.35B,-0.12%
2021/8/4,"17,623.89","17,588.64","17,636.11","17,557.18",5.82B,0.40%
2021/8/3,"17,553.76","17,489.12","17,553.76","17,456.20",4.53B,0.29%
2021/8/2,"17,503.28","17,256.61","17,503.28","17,231.22",5.19B,1.48%
2021/7/30,"17,247.41","17,414.77","17,429.01","17,237.67",6.58B,-0.89%
2021/7/29,"17,402.81","17,216.58","17,402.81","17,190.48",5.66B,1.56%
2021/7/28,"17,135.22","17,252.87","17,252.87","16,893.70",6.73B,-0.78%
2021/7/27,"17,269.87","17,394.77","17,459.35","17,264.50",6.08B,-0.77%
2021/7/26,"17,403.56","17,554.93","17,637.36","17,403.56",5.93B,-0.96%
2021/7/23,"17,572.92","17,603.95","17,672.60","17,511.86",6.69B,0.00%
2021/7/22,"17,572.33","17,482.81","17,667.38","17,482.81",6.90B,0.65%
2021/7/21,"17,458.79","17,593.60","17,707.56","17,352.24",7.70B,-0.40%
2021/7/20,"17,528.74","17,724.92","17,724.92","17,500.69",6.26B,-1.46%
2021/7/19,"17,789.25","17,854.35","17,854.35","17,708.15",5.95B,-0.59%
2021/7/16,"17,895.25","17,839.58","17,926.38","17,779.61",6.71B,-0.77%
2021/7/15,"18,034.19","17,878.78","18,034.19","17,878.78",5.70B,1.06%
2021/7/14,"17,845.75","17,892.51","17,940.86","17,716.44",7.38B,-0.01%
